object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00752.01,CONFIRMED,9.48803557,2.9575,615.8,2.26,5455,4.467,0.927,Kepler,,,,,,,,,
K00752.02,CONFIRMED,54.4183827,4.507,874.8,2.83,5455,4.467,0.927,Kepler,,,,,,,,,
K00753.01,CANDIDATE,19.89913995,1.7822,10829,14.6,5853,4.544,0.868,Kepler,,,,,,,,,
K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,5805,4.564,0.791,Kepler,,,,,,,,,
K00755.01,CONFIRMED,2.525591777,1.6545,603.3,2.75,6031,4.438,1.046,Kepler,,,,,,,,,
K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,3.9,6046,4.486,0.972,Kepler,,,,,,,,,
K00756.02,CONFIRMED,4.13443512,3.1402,686,2.77,6046,4.486,0.972,Kepler,,,,,,,,,
K00756.03,CONFIRMED,2.56658897,2.429,226.5,1.59,6046,4.486,0.972,Kepler,,,,,,,,,
K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,39.21,6227,3.986,1.958,Kepler,,,,,,,,,
K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,5.76,5031,4.485,0.848,Kepler,,,,,,,,,
K00001.01,CONFIRMED,2.470613377,1.74319,14231,13.04,5820,4.457,0.964,Kepler,,,,,,,,,
K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,16.1,6440,4.019,1.952,Kepler,,,,,,,,,
K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,14.59,6225,4.169,1.451,Kepler,,,,,,,,,
K00112.02,CONFIRMED,3.709214104,2.6302,131.1,1.16,5833,4.407,1.022,Kepler,,,,,,,,,
K00742.01,FALSE POSITIVE,11.52144606,3.6399,17984,150.51,5795,4.554,0.848,Kepler,,,,,,,,,
K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,5043,4.591,0.68,Kepler,,,,,,,,,
K00744.01,FALSE POSITIVE,19.22138894,4.79843,74284,49.29,6117,4.496,0.947,Kepler,,,,,,,,,
